,age,job,marital,education,housing,loan,month,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,label
125,51,blue-collar,married,basic.4y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
126,60,blue-collar,married,basic.9y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
127,39,services,divorced,high.school,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
128,36,blue-collar,married,basic.9y,yes,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
129,43,technician,single,professional.course,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
130,59,services,married,high.school,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
131,24,management,single,university.degree,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
132,37,blue-collar,single,basic.9y,yes,yes,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
133,40,blue-collar,married,basic.9y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
134,42,blue-collar,married,basic.9y,no,no,may,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
135,39,services,divorced,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
136,37,entrepreneur,married,basic.6y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
137,38,services,married,high.school,yes,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
138,54,management,divorced,university.degree,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
139,43,blue-collar,married,high.school,no,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
140,36,services,married,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
141,45,technician,married,university.degree,yes,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
142,42,admin.,single,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
143,43,services,married,high.school,no,no,may,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
144,46,management,married,basic.9y,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
145,44,services,married,high.school,yes,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
146,51,admin.,single,basic.6y,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
147,28,services,married,high.school,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
148,37,blue-collar,married,basic.9y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
149,34,technician,married,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
150,46,blue-collar,married,basic.6y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
151,42,blue-collar,married,basic.9y,yes,yes,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1
152,36,admin.,married,university.degree,yes,no,may,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
153,54,blue-collar,married,basic.4y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
154,57,management,married,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
155,51,technician,married,basic.6y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
156,54,retired,married,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
157,49,blue-collar,married,basic.4y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
158,34,admin.,married,university.degree,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
159,41,technician,married,professional.course,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
160,38,blue-collar,single,basic.9y,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
161,45,management,divorced,university.degree,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
162,42,technician,married,university.degree,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
163,34,blue-collar,single,basic.9y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
164,48,blue-collar,married,basic.4y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
165,37,admin.,married,high.school,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
166,34,blue-collar,single,basic.9y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
167,40,admin.,married,basic.9y,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
168,43,blue-collar,married,basic.6y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
169,33,services,married,high.school,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
170,32,services,single,basic.6y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
171,39,blue-collar,married,high.school,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
172,44,blue-collar,married,basic.9y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
173,35,student,single,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
174,35,student,single,university.degree,yes,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
175,35,unemployed,married,professional.course,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
176,36,services,single,basic.4y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
177,35,student,single,university.degree,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
178,36,student,single,basic.9y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
179,55,housemaid,divorced,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
180,59,admin.,married,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
181,39,blue-collar,married,professional.course,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
182,39,housemaid,married,basic.4y,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
183,50,housemaid,married,basic.4y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
184,40,services,married,high.school,no,no,may,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
185,35,admin.,married,high.school,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
186,36,services,single,basic.6y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
187,46,technician,married,basic.4y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
188,40,technician,married,basic.9y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
189,58,retired,married,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
190,42,technician,married,university.degree,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
191,35,admin.,single,university.degree,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
192,43,retired,married,basic.4y,no,no,may,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
193,45,blue-collar,married,basic.4y,yes,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
194,39,admin.,married,professional.course,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
195,50,services,divorced,professional.course,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
196,32,management,divorced,basic.4y,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
197,39,admin.,married,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
198,52,self-employed,married,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
199,44,admin.,married,professional.course,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
200,56,blue-collar,married,basic.4y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
201,48,admin.,married,high.school,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
202,33,services,married,high.school,no,yes,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
203,43,management,married,university.degree,no,yes,may,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
204,57,retired,married,high.school,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
205,36,technician,single,professional.course,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
206,34,management,married,university.degree,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
207,34,services,single,basic.9y,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
208,30,technician,married,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
209,32,technician,single,professional.course,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
210,36,technician,single,high.school,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
211,36,blue-collar,single,high.school,no,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
212,33,services,single,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
213,40,technician,divorced,professional.course,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
214,41,blue-collar,married,basic.4y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
215,51,services,married,basic.6y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
216,36,technician,married,professional.course,yes,no,may,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
217,53,services,married,high.school,yes,yes,may,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
218,58,blue-collar,married,basic.9y,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
219,45,management,married,basic.9y,no,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
220,33,admin.,married,high.school,no,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
221,33,admin.,married,high.school,no,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
222,42,technician,married,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
223,43,admin.,divorced,basic.9y,no,no,may,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
224,42,admin.,married,university.degree,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
225,27,blue-collar,single,basic.6y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
226,34,self-employed,single,university.degree,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
227,31,student,single,university.degree,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
228,54,management,divorced,university.degree,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
229,40,self-employed,married,basic.4y,no,no,may,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
230,52,unemployed,married,high.school,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
231,47,management,divorced,university.degree,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
232,49,housemaid,married,basic.9y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
233,32,admin.,single,high.school,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
234,49,housemaid,single,high.school,yes,yes,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
235,50,blue-collar,married,basic.9y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
236,34,services,married,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
237,55,blue-collar,married,basic.4y,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
238,47,technician,single,basic.9y,no,no,may,4,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
